"title","price","sold_at_date"
"Verkocht: Fruinplantsoen 79 3571 PT Utrecht [funda]","200000","21 april 2020"
"Verkocht: Minister Talmastraat 26 D 3555 GH Utrecht [funda]","200000","22 mei 2020"
"Verkocht: Vechtplantsoen 26 -2 3554 TC Utrecht [funda]","225000","25 mei 2020"
"Verkocht: Aartsbisschop Romerostraat 147 3573 AG Utrecht [funda]","250000","12 mei 2020"
"Verkocht: Ruygenhoeklaan 10 I 3523 HL Utrecht [funda]","275000","22 mei 2020"
"Verkocht: Rooseveltlaan 454 A 3527 AR Utrecht [funda]","250000","11 mei 2020"
"Verkocht: Moezeldreef 179 3561 GB Utrecht [funda]","185000","22 juni 2020"
"Verkocht: Van 's-Gravesandestraat 13 bis 3514 VR Utrecht [funda]","419000","20 juni 2020"
"Verkocht: Tijmstraat 33 3551 GK Utrecht [funda]","300000","20 mei 2020"
"Verkocht: Edisonstraat 93 bs 3553 BN Utrecht [funda]","300000","22 juni 2020"
"Verkocht: Julianaweg 275 3523 XB Utrecht [funda]","500000","13 mei 2020"
"Verkocht: Pablo (Bouwnr. 50) 3544 NW Utrecht [funda]","363000","15 juni 2020"
"Verkocht: Rhodosdreef 136 3562 TJ Utrecht [funda]","215000","13 februari 2020"
"Verkocht: Eikstraat 55 3581 XK Utrecht [funda]","665000","17 juni 2020"
"Verkocht: Hogelanden W.Z. 44 3552 AC Utrecht [funda]","250000","20 december 2019"
